PubmedID,Title,Publication Date,Non-academic Author(s)
40680284,Computable Phenotyping: Disease-Agnostic Translational Methods to Puberty and Diabetes in Adolescent Males.,2025,N/A
40680271,Modelling ,2025,Panagiotis G Karamertzanis; Mike Rasenberg; Imran Shah; Grace Patlewicz
40680237,Using Machine-Learning to Identify Differences in the Association between Blood-Based Biomarkers and Later Life Health Across Race and Ethnicity.,2025,N/A
40680235,Comparing the Performance of Machine Learning Models and Conventional Risk Scores for Predicting Major Adverse Cardiovascular Cerebrovascular Events After Percutaneous Coronary Intervention in Patients With Acute Myocardial Infarction: Systematic Review and Meta-Analysis.,2025,N/A
40680189,Performance of Machine Learning in Diagnosing KRAS (Kirsten Rat Sarcoma) Mutations in Colorectal Cancer: Systematic Review and Meta-Analysis.,2025,Yan Li; Huiyan Gao
40680158,Predicting Pathological Complete Response Following Neoadjuvant Therapy in Patients With Breast Cancer: Development of Machine Learning-Based Prediction Models in a Retrospective Study.,2025,N/A
40680113,AI-powered skin spectral imaging enables instant sepsis diagnosis and outcome prediction in critically ill patients.,2025,Silvia Seidlitz; Katharina Hölzl; Ayca von Garrel; Jan Sellner; Lena Maier-Hein
40680082,Classifying Host-Guest Topology with Ion Mobility-Mass Spectrometry and Machine Learning.,2025,N/A
40680081,Type of pre-existing chronic conditions and their associations with Merkel cell carcinoma (MCC) treatment: Prediction and interpretation using machine learning methods.,2025,Murtuza Bharmal
40680072,An innovative efficiency of incubator to enhance organization supportive business using machine learning approach.,2025,Paolo Mercorelli
40680040,DNA sequence classification for diabetes mellitus using NuSVC and XGBoost: A comparative.,2025,N/A
40679999,Identification of staphylococcus aureus spondylitis in patients with spinal infections using machine learning based on routine laboratory tests: a multicenter retrospective study.,2025,Xiheng Hu
40679989,Letter to editor: Clinical performance of a machine learning-based model for detecting lymph node metastasis in papillary thyroid carcinoma: a multicenter study.,2025,N/A
40679985,Prediction system for gallbladder cancer distant metastasis a retrospective cohort study based on machine learning.,2025,N/A
40679961,"Synergistic fusion: An integrated pipeline of CLAHE, YOLO models, and advanced super-resolution for enhanced thermal eye detection.",2025,Persiya J; Sasithradevi A
40679953,Transfer Learning for Predicting ncRNA-Protein Interactions.,2025,Zedong Bi
40679943,Discovery of Ni,2025,N/A
40679925,Machine Learning for Detecting Iron Deficiency through Comprehensive Blood Analysis.,2025,Chien-Chih Chen
40679895,Enhanced Dual-Pattern Matching with Vision-Language Representation for out-of-Distribution Detection.,2025,N/A
40679887,Uncertain Interruptibility Multiobjective Flexible Job Shop via Deep Reinforcement Learning Based on Heterogeneous Graph Self-Attention.,2025,N/A
